TITLE = "Blade_9505.0_pitch_28.0_AoA_5.0"
VARIABLES = "R_middle" "X_mean" "Y_mean" "Z_mean" "Tx_fR" "Ty_fR" "Tz_fR" "Ft_fR" "Fr_fR" "F1P_fR" "Mx_fR" "My_fR" "Mz_fR" 
ZONE T="Blade_9505.0_pitch_28.0_AoA_5.0", I=45, J=1, K=1, F=BLOCK
  5.207777778e-02  5.623333333e-02  6.038888889e-02  6.454444444e-02  6.870000000e-02  7.285555556e-02
  7.701111111e-02  8.116666667e-02  8.532222222e-02  8.947777778e-02  9.363333333e-02  9.778888889e-02
  1.019444444e-01  1.061000000e-01  1.102555556e-01  1.144111111e-01  1.185666667e-01  1.227222222e-01
  1.268777778e-01  1.310333333e-01  1.351888889e-01  1.393444444e-01  1.435000000e-01  1.476555556e-01
  1.518111111e-01  1.559666667e-01  1.601222222e-01  1.642777778e-01  1.684333333e-01  1.725888889e-01
  1.767444444e-01  1.809000000e-01  1.850555556e-01  1.892111111e-01  1.933666667e-01  1.975222222e-01
  2.016777778e-01  2.058333333e-01  2.099888889e-01  2.141444444e-01  2.183000000e-01  2.224555556e-01
  2.266111111e-01  2.307666667e-01  2.349222222e-01
 -1.427351208e-03 -1.862627596e-03 -2.445875587e-03 -3.160021515e-03 -3.987048828e-03 -4.911391975e-03
 -5.935350585e-03 -7.016883493e-03 -8.137397678e-03 -9.269732738e-03 -1.037613618e-02 -1.141120556e-02
 -1.228755230e-02 -1.288684742e-02 -1.312804597e-02 -1.295481137e-02 -1.240612072e-02 -1.144984831e-02
 -1.027889721e-02 -9.045226712e-03 -7.798657461e-03 -6.539657603e-03 -5.267138746e-03 -3.986656216e-03
 -2.696083846e-03 -1.395412871e-03 -8.559989191e-05  1.232543337e-03  2.557360618e-03  3.886256530e-03
  5.221112066e-03  6.561577560e-03  7.907082803e-03  9.256096002e-03  1.060719668e-02  1.196100143e-02
  1.331760951e-02  1.467701357e-02  1.603806985e-02  1.739958105e-02  1.850242254e-02  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
 -7.805943002e-04 -1.047149379e-03 -1.421194559e-03 -1.876836966e-03 -2.382235185e-03 -2.919271429e-03
 -3.482680412e-03 -4.046355213e-03 -4.608991314e-03 -5.166130533e-03 -5.709656799e-03 -6.221276170e-03
 -6.657378834e-03 -6.938692137e-03 -7.038565660e-03 -6.934734820e-03 -6.627866110e-03 -6.103925729e-03
 -5.492394184e-03 -4.844668456e-03 -4.191847863e-03 -3.533265255e-03 -2.867483294e-03 -2.199648612e-03
